feature,source_strategy,source_kind,normalized_feature
The product provides the product provides 3.6mmlens DORIdefinition Distance.,table_extraction_agent,raw_table,the product provides the product provides 3.6mmlens doridefinition distance.
The product provides the product provides Detect 25px/m(8px/ft) 50.6m(166.0ft).,table_extraction_agent,raw_table,the product provides the product provides detect 25px/m(8px/ft) 50.6m(166.0ft).
The product provides the product provides Observe 63px/m(19px/ft) 20.1m(65.9ft).,table_extraction_agent,raw_table,the product provides the product provides observe 63px/m(19px/ft) 20.1m(65.9ft).
The product provides the product provides Recognize 125px/m(38px/ft) 10.1m(33.1ft).,table_extraction_agent,raw_table,the product provides the product provides recognize 125px/m(38px/ft) 10.1m(33.1ft).
The product provides the product provides Identify 250px/m(76px/ft) 5.1m(16.7ft).,table_extraction_agent,raw_table,the product provides the product provides identify 250px/m(76px/ft) 5.1m(16.7ft).
The product provides the product provides 2.8mmlens DORIdefinition Distance.,table_extraction_agent,raw_table,the product provides the product provides 2.8mmlens doridefinition distance.
The product provides the product provides Detect 25px/m(8px/ft) 21.1m(69.2ft).,table_extraction_agent,raw_table,the product provides the product provides detect 25px/m(8px/ft) 21.1m(69.2ft).
The product provides the product provides Observe 63px/m(19px/ft) 7.4m(24.3ft).,table_extraction_agent,raw_table,the product provides the product provides observe 63px/m(19px/ft) 7.4m(24.3ft).
The product provides the product provides Recognize 125px/m(38px/ft) 4.2m(13.8ft).,table_extraction_agent,raw_table,the product provides the product provides recognize 125px/m(38px/ft) 4.2m(13.8ft).
The product provides the product provides Identify 250px/m(76px/ft) 2.1m(6.9ft).,table_extraction_agent,raw_table,the product provides the product provides identify 250px/m(76px/ft) 2.1m(6.9ft).
The product provides the product provides Datasheet.,text_extraction_agent,raw_text,the product provides the product provides datasheet.
The product provides the product provides AXISM3905-RDomeCamera.,text_extraction_agent,raw_text,the product provides the product provides axism3905-rdomecamera.
The product provides the product provides AXIS M3905-R Dome Camera.,text_extraction_agent,raw_text,the product provides the product provides axis m3905-r dome camera.
The product provides the product provides For indoor surveillance onboard buses.,text_extraction_agent,raw_text,the product provides the product provides for indoor surveillance onboard buses.
The product provides the product provides This compact and discreet 2 MP onboard camera for indoor surveillance complies with transportation-industry.,text_extraction_agent,raw_text,the product provides the product provides this compact and discreet 2 mp onboard camera for indoor surveillance complies with transportation-industry.
"The product provides the product provides regulations including fire-safety for buses. It can withstand vibrations and a wide range of temperatures. Additionally,.",text_extraction_agent,raw_text,"the product provides the product provides regulations including fire-safety for buses. it can withstand vibrations and a wide range of temperatures. additionally,."
The product provides the product provides with AXIS TP3826-E housing this dome camera can be mounted on the outside of a bus. Thanks to Lightfinder and.,text_extraction_agent,raw_text,the product provides the product provides with axis tp3826-e housing this dome camera can be mounted on the outside of a bus. thanks to lightfinder and.
"The product provides forensic WDR, it provides details even in challenging light conditions. With traffic light mode, it can distinguish the.",text_extraction_agent,raw_text,"the product provides forensic wdr, it provides details even in challenging light conditions. with traffic light mode, it can distinguish the."
The product provides the product provides coloroftrafficlightsindarkscenes.OptionalM12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring.,text_extraction_agent,raw_text,the product provides the product provides coloroftrafficlightsindarkscenes.optionalm12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring.
The product provides the product provides purposes.,text_extraction_agent,raw_text,the product provides the product provides purposes.
"The product provides the product provides > Compact,ruggeddesign.",text_extraction_agent,raw_text,"the product provides the product provides > compact,ruggeddesign."
The product provides the product provides > Indoorcamera.,text_extraction_agent,raw_text,the product provides the product provides > indoorcamera.
The product provides the product provides > 88°Horizontalfieldofview.,text_extraction_agent,raw_text,the product provides the product provides > 88°horizontalfieldofview.
The product provides the product provides > LightfinderandForensicWDR.,text_extraction_agent,raw_text,the product provides the product provides > lightfinderandforensicwdr.
The product provides the product provides > TrafficLightmode.,text_extraction_agent,raw_text,the product provides the product provides > trafficlightmode.
The product provides the product provides Variants.,text_extraction_agent,raw_text,the product provides the product provides variants.
The product provides the product provides Video.,text_extraction_agent,raw_text,the product provides the product provides video.
The product provides the product provides AXISM3905-RRJ453.6mm.,text_extraction_agent,raw_text,the product provides the product provides axism3905-rrj453.6mm.
The product provides the product provides AXISM3905-RM123.6mm.,text_extraction_agent,raw_text,the product provides the product provides axism3905-rm123.6mm.
The product provides the product provides AXISM3905-RRJ452.8mm Videocompression.,text_extraction_agent,raw_text,the product provides the product provides axism3905-rrj452.8mm videocompression.
The product provides the product provides AXISM3905-RM122.8mm H.264(MPEG-4Part10/AVC)MainandHighProfiles.,text_extraction_agent,raw_text,the product provides the product provides axism3905-rm122.8mm h.264(mpeg-4part10/avc)mainandhighprofiles.
The product provides the product provides H.265(MPEG-HPart2/HEVC)MainProfile.,text_extraction_agent,raw_text,the product provides the product provides h.265(mpeg-hpart2/hevc)mainprofile.
The product provides the product provides Camera MotionJPEG.,text_extraction_agent,raw_text,the product provides the product provides camera motionjpeg.
The product provides the product provides Imagesensor Resolution.,text_extraction_agent,raw_text,the product provides the product provides imagesensor resolution.
The product provides the product provides 1/2.9”ProgressivescanRGBCMOS 16:9:1920x1080to640X360.,text_extraction_agent,raw_text,the product provides the product provides 1/2.9”progressivescanrgbcmos 16:9:1920x1080to640x360.
The product provides the product provides Pixelsize2.8µm 16:10:1280x800to640x400.,text_extraction_agent,raw_text,the product provides the product provides pixelsize2.8µm 16:10:1280x800to640x400.
The product provides the product provides 4:3:1280x960to320x240.,text_extraction_agent,raw_text,the product provides the product provides 4:3:1280x960to320x240.
The product provides the product provides Lens.,text_extraction_agent,raw_text,the product provides the product provides lens.
"The product provides the product provides 3.6mm,F2.0: Frame rate.",text_extraction_agent,raw_text,"the product provides the product provides 3.6mm,f2.0: frame rate."
The product provides the product provides Horizontalfieldofview:88° H.264andH.265:25/30fps(50/60Hz)inallresolutions.,text_extraction_agent,raw_text,the product provides the product provides horizontalfieldofview:88° h.264andh.265:25/30fps(50/60hz)inallresolutions.
The product provides the product provides Verticalfieldofview:47° MotionJPEG:15fps(50/60Hz)inallresolutions.,text_extraction_agent,raw_text,the product provides the product provides verticalfieldofview:47° motionjpeg:15fps(50/60hz)inallresolutions.
The product provides the product provides Minimumfocusdistance:0.3m(1ft).,text_extraction_agent,raw_text,the product provides the product provides minimumfocusdistance:0.3m(1ft).
"The product provides the product provides M12mount,fixediris.",text_extraction_agent,raw_text,"the product provides the product provides m12mount,fixediris."
The product provides the product provides Videostreaming.,text_extraction_agent,raw_text,the product provides the product provides videostreaming.
"The product provides the product provides 2.8mm,F1.2:.",text_extraction_agent,raw_text,"the product provides the product provides 2.8mm,f1.2:."
The product provides the product provides Upto4uniqueandconfigurablevideostreams1.,text_extraction_agent,raw_text,the product provides the product provides upto4uniqueandconfigurablevideostreams1.
The product provides the product provides Horizontalfieldofview:107°.,text_extraction_agent,raw_text,the product provides the product provides horizontalfieldofview:107°.
"The product provides the product provides Multiple,individuallyconfigurablestreamsinH.264,.",text_extraction_agent,raw_text,"the product provides the product provides multiple,individuallyconfigurablestreamsinh.264,."
The product provides the product provides Verticalfieldofview:56°.,text_extraction_agent,raw_text,the product provides the product provides verticalfieldofview:56°.
The product provides the product provides H.265andMotionJPEG.,text_extraction_agent,raw_text,the product provides the product provides h.265andmotionjpeg.
The product provides the product provides AxisZipstreamtechnologyinH.264andH.265.,text_extraction_agent,raw_text,the product provides the product provides axiszipstreamtechnologyinh.264andh.265.
The product provides the product provides Controllableframerateandbandwidth.,text_extraction_agent,raw_text,the product provides the product provides controllableframerateandbandwidth.
The product provides the product provides SeeOptionalaccessoriesforexchangeablelenses.,text_extraction_agent,raw_text,the product provides the product provides seeoptionalaccessoriesforexchangeablelenses.
