capability_label,feature,source_strategy,source_kind,normalized_feature,feature_key
The product provides the product provides 4MP 8MP.,The product provides the product provides 4MP 8MP.,table_extraction_agent,raw_table,the product provides the product provides 4mp 8mp.,4mp_8mp
The product provides the product provides 4.0MP 8.0MP(4KULTRAHD).,The product provides the product provides 4.0MP 8.0MP(4KULTRAHD).,table_extraction_agent,raw_table,the product provides the product provides 4.0mp 8.0mp(4kultrahd).,40mp_80mp4kultrahd
The product provides the product provides Primary.,The product provides the product provides Primary.,table_extraction_agent,raw_table,the product provides the product provides primary.,primary
The product provides the product provides Secondary.,The product provides the product provides Secondary.,table_extraction_agent,raw_table,the product provides the product provides secondary.,secondary
The product provides the product provides Tertiary.,The product provides the product provides Tertiary.,table_extraction_agent,raw_table,the product provides the product provides tertiary.,tertiary
The product provides the product provides WDROff.,The product provides the product provides WDROff.,table_extraction_agent,raw_table,the product provides the product provides wdroff.,wdroff
The product provides the product provides WDROn (IEC62676).,The product provides the product provides WDROn (IEC62676).,table_extraction_agent,raw_table,the product provides the product provides wdron (iec62676).,wdron_iec62676
The product provides the product provides WDROn.,The product provides the product provides WDROn.,table_extraction_agent,raw_table,the product provides the product provides wdron.,wdron
The product provides the product provides 4.4-9.3MM 10.9-29MM.,The product provides the product provides 4.4-9.3MM 10.9-29MM.,table_extraction_agent,raw_table,the product provides the product provides 4.4-9.3mm 10.9-29mm.,4493mm_10929mm
The product provides the product provides 4MP.,The product provides the product provides 4MP.,table_extraction_agent,raw_table,the product provides the product provides 4mp.,4mp
The product provides the product provides 8MP.,The product provides the product provides 8MP.,table_extraction_agent,raw_table,the product provides the product provides 8mp.,8mp
The product provides the product provides 4MP&8 MP.,The product provides the product provides 4MP&8 MP.,table_extraction_agent,raw_table,the product provides the product provides 4mp&8 mp.,4mp8
The product provides the product provides SURFACEMOUNT IN-CEILINGMOUNT PENDANTMOUNT.,The product provides the product provides SURFACEMOUNT IN-CEILINGMOUNT PENDANTMOUNT.,table_extraction_agent,raw_table,the product provides the product provides surfacemount in-ceilingmount pendantmount.,surfacemount_inceilingmount_pendantmount
The product provides the product provides Indoor Dome.,The product provides the product provides Indoor Dome.,table_extraction_agent,raw_table,the product provides the product provides indoor dome.,indoor_dome
The product provides the product provides Outdoor Dome.,The product provides the product provides Outdoor Dome.,table_extraction_agent,raw_table,the product provides the product provides outdoor dome.,outdoor_dome
The product provides the product provides PoE.,The product provides the product provides PoE.,table_extraction_agent,raw_table,the product provides the product provides poe.,poe
The product provides the product provides INDOORDOME OUTDOORDOME.,The product provides the product provides INDOORDOME OUTDOORDOME.,table_extraction_agent,raw_table,the product provides the product provides indoordome outdoordome.,indoordome_outdoordome
The product provides the product provides With External Poweror PoE+.,The product provides the product provides With External Poweror PoE+.,table_extraction_agent,raw_table,the product provides the product provides with external poweror poe+.,external_poweror_poe
The product provides the product provides [X.XX] INCHES.,The product provides the product provides [X.XX] INCHES.,table_extraction_agent,raw_table,the product provides the product provides [x.xx] inches.,xxx_inches
The product provides the product provides X.X MM.,The product provides the product provides X.X MM.,table_extraction_agent,raw_table,the product provides the product provides x.x mm.,xx_mm
The product provides the product provides MP WDR LIGHTCATCHER TECHNOLOGY LENS IR ANALYTICS HDSM SMARTCODEC MICROPHONE.,The product provides the product provides MP WDR LIGHTCATCHER TECHNOLOGY LENS IR ANALYTICS HDSM SMARTCODEC MICROPHONE.,table_extraction_agent,raw_table,the product provides the product provides mp wdr lightcatcher technology lens ir analytics hdsm smartcodec microphone.,wdr_lightcatcher_technology_lens_analytics_hdsm
The product provides the product provides 4.4-9.3 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,The product provides the product provides 4.4-9.3 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,table_extraction_agent,raw_table,the product provides the product provides 4.4-9.3 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,4493
The product provides the product provides 10.9-29 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,The product provides the product provides 10.9-29 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,table_extraction_agent,raw_table,the product provides the product provides 10.9-29 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,10929
The product provides the product provides Datasheet 4MP 8MP.,The product provides the product provides Datasheet 4MP 8MP.,text_extraction_agent,raw_text,the product provides the product provides datasheet 4mp 8mp.,datasheet_4mp_8mp
The product provides the product provides H6XP Dome Camera.,The product provides the product provides H6XP Dome Camera.,text_extraction_agent,raw_text,the product provides the product provides h6xp dome camera.,h6xp_dome
The product provides the product provides Flexibility And Compliance At Your Fingertips.,The product provides the product provides Flexibility And Compliance At Your Fingertips.,text_extraction_agent,raw_text,the product provides the product provides flexibility and compliance at your fingertips.,flexibility_compliance_your_fingertips
"The product provides the product provides CombinemultipleusecasesintoonewiththeAvigilonH6XPDomeCamera,empoweringyoutodomorewith.","The product provides the product provides CombinemultipleusecasesintoonewiththeAvigilonH6XPDomeCamera,empoweringyoutodomorewith.",text_extraction_agent,raw_text,"the product provides the product provides combinemultipleusecasesintoonewiththeavigilonh6xpdomecamera,empoweringyoutodomorewith.",combinemultipleusecasesintoonewiththeavigilonh6xpdomecameraempoweringyoutodomorewith
"The product provides less.ItincludesanIoThubthatprovidescompatibilitywithZ-Wavedevices,suchasbuttonsandsensors,.","The product provides less.ItincludesanIoThubthatprovidescompatibilitywithZ-Wavedevices,suchasbuttonsandsensors,.",text_extraction_agent,raw_text,"the product provides less.itincludesaniothubthatprovidescompatibilitywithz-wavedevices,suchasbuttonsandsensors,.",lessit_aniothubthat_compatibilitywithzwavedevicessuchasbuttonsandsensors
