feature,source_strategy,source_kind
The product provides the product provides Datasheet.,text_extraction_agent,raw_text
The product provides the product provides AXISM3905-RDomeCamera.,text_extraction_agent,raw_text
The product provides the product provides AXIS M3905-R Dome Camera.,text_extraction_agent,raw_text
The product provides the product provides For indoor surveillance onboard buses.,text_extraction_agent,raw_text
The product provides the product provides This compact and discreet 2 MP onboard camera for indoor surveillance complies with transportation-industry.,text_extraction_agent,raw_text
"The product provides the product provides regulations including fire-safety for buses. It can withstand vibrations and a wide range of temperatures. Additionally,.",text_extraction_agent,raw_text
The product provides the product provides with AXIS TP3826-E housing this dome camera can be mounted on the outside of a bus. Thanks to Lightfinder and.,text_extraction_agent,raw_text
"The product provides forensic WDR, it provides details even in challenging light conditions. With traffic light mode, it can distinguish the.",text_extraction_agent,raw_text
The product provides the product provides coloroftrafficlightsindarkscenes.OptionalM12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring.,text_extraction_agent,raw_text
The product provides the product provides purposes.,text_extraction_agent,raw_text
"The product provides the product provides > Compact,ruggeddesign.",text_extraction_agent,raw_text
The product provides the product provides > Indoorcamera.,text_extraction_agent,raw_text
The product provides the product provides > 88°Horizontalfieldofview.,text_extraction_agent,raw_text
The product provides the product provides > LightfinderandForensicWDR.,text_extraction_agent,raw_text
The product provides the product provides > TrafficLightmode.,text_extraction_agent,raw_text
The product provides the product provides AXIS M3905-R Dome Camera.,text_extraction_agent,raw_text
The product provides the product provides Variants.,text_extraction_agent,raw_text
The product provides the product provides Video.,text_extraction_agent,raw_text
The product provides the product provides AXISM3905-RRJ453.6mm.,text_extraction_agent,raw_text
The product provides the product provides AXISM3905-RM123.6mm.,text_extraction_agent,raw_text
The product provides the product provides AXISM3905-RRJ452.8mm Videocompression.,text_extraction_agent,raw_text
The product provides the product provides AXISM3905-RM122.8mm H.264(MPEG-4Part10/AVC)MainandHighProfiles.,text_extraction_agent,raw_text
The product provides the product provides H.265(MPEG-HPart2/HEVC)MainProfile.,text_extraction_agent,raw_text
The product provides the product provides Camera MotionJPEG.,text_extraction_agent,raw_text
The product provides the product provides Imagesensor Resolution.,text_extraction_agent,raw_text
The product provides the product provides 1/2.9”ProgressivescanRGBCMOS 16:9:1920x1080to640X360.,text_extraction_agent,raw_text
The product provides the product provides Pixelsize2.8µm 16:10:1280x800to640x400.,text_extraction_agent,raw_text
The product provides the product provides 4:3:1280x960to320x240.,text_extraction_agent,raw_text
The product provides the product provides Lens.,text_extraction_agent,raw_text
"The product provides the product provides 3.6mm,F2.0: Frame rate.",text_extraction_agent,raw_text
The product provides the product provides Horizontalfieldofview:88° H.264andH.265:25/30fps(50/60Hz)inallresolutions.,text_extraction_agent,raw_text
