feature_key,normalized_feature,capability_label,datasheet-axis-m3905-r-dome-camera-en-US-506723,normalized_feature_h6-xp-dome-camera-datasheet,capability_label_h6-xp-dome-camera-datasheet,h6-xp-dome-camera-datasheet,normalized_feature_video-security-cd22-datasheet,capability_label_video-security-cd22-datasheet,video-security-cd22-datasheet,representative_feature
0009_lux_f19_color,,,missing,,,missing,the product provides 0.009 lux @ f1.9 (color).,The product provides 0.009 lux @ F1.9 (Color).,present,the product provides 0.009 lux @ f1.9 (color).
1024mbram512mbflash,"the product provides the product provides 1024mbram,512mbflash.","The product provides the product provides 1024MBRAM,512MBFlash.",present,,,missing,,,missing,"the product provides the product provides 1024mbram,512mbflash."
1043mm,,,missing,,,missing,the product provides 104.3mm.,The product provides 104.3mm.,present,the product provides 104.3mm.
10929,,,missing,the product provides the product provides 10.9-29 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,The product provides the product provides 10.9-29 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,present,,,missing,the product provides the product provides 10.9-29 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.
10cto55c14fto_40cto65c40fto149fwithexternalpowerorieee8023atclass4255w,,,missing,the product provides the product provides with -10°cto+55°c(-14°fto -40°cto+65°c(-40°fto149°f)withexternalpowerorieee802.3atclass4(25.5w.,The product provides the product provides With -10°Cto+55°C(-14°Fto -40°Cto+65°C(-40°Fto149°F)withexternalpowerorIEEE802.3atClass4(25.5W.,present,,,missing,the product provides the product provides with -10°cto+55°c(-14°fto -40°cto+65°c(-40°fto149°f)withexternalpowerorieee802.3atclass4(25.5w.
10cto55c14fto_50cto65c58fto149fwithexternalpowerorieee8023atclass4255w,,,missing,the product provides the product provides with -10°cto+55°c(-14°fto -50°cto+65°c(-58°fto149°f)withexternalpowerorieee802.3atclass4(25.5w.,The product provides the product provides With -10°Cto+55°C(-14°Fto -50°Cto+65°C(-58°Fto149°F)withexternalpowerorIEEE802.3atClass4(25.5W.,present,,,missing,the product provides the product provides with -10°cto+55°c(-14°fto -50°cto+65°c(-58°fto149°f)withexternalpowerorieee802.3atclass4(25.5w.
129progressivescanrgbcmos_1691920x1080to640x360,the product provides the product provides 1/2.9”progressivescanrgbcmos 16:9:1920x1080to640x360.,The product provides the product provides 1/2.9”ProgressivescanRGBCMOS 16:9:1920x1080to640X360.,present,,,missing,,,missing,the product provides the product provides 1/2.9”progressivescanrgbcmos 16:9:1920x1080to640x360.
1460mm_575in,,,missing,,,missing,the product provides 146.0mm / 5.75in.,The product provides 146.0mm / 5.75in.,present,the product provides 146.0mm / 5.75in.
1460mm_575in_1043mm_411in,,,missing,,,missing,"the product provides ø: 146.0mm / 5.75in, h: 104.3mm / 4.11in.","The product provides ø: 146.0mm / 5.75in, H: 104.3mm / 4.11in.",present,"the product provides ø: 146.0mm / 5.75in, h: 104.3mm / 4.11in."
1460mm_575in_998mm_393in,,,missing,,,missing,"the product provides ø: 146.0mm / 5.75in, h: 99.8mm / 3.93in.","The product provides ø: 146.0mm / 5.75in, H: 99.8mm / 3.93in.",present,"the product provides ø: 146.0mm / 5.75in, h: 99.8mm / 3.93in."
