normalized_feature,datasheet-axis-m3905-r-dome-camera-en-US-506723,h6-xp-dome-camera-datasheet,video-security-cd22-datasheet
the product provides 0 lux with ir illuminators on.,missing,missing,present
the product provides 0.009 lux @ f1.9 (color).,missing,missing,present
"the product provides 1. all our cameras record in ""adaptive quality,"" capturing both standard (sq) and high quality (hq) streams. sq video is stored up to the amount of retention specifi ed by.",missing,missing,present
"the product provides 1. all our cameras record in ""adaptive quality,"" capturing both standard and high quality streams. standard quality (sq) video is stored up to the amount of retention specified by.",missing,missing,present
the product provides 104.3mm.,missing,missing,present
the product provides 146.0mm / 5.75in.,missing,missing,present
"the product provides 2. lens distortion correction (ldc) crops the sensor fi eld of view to deliver a rectifi ed, undistorted output image.",missing,missing,present
"the product provides 2. thisproductincludessoftwaredevelopedbytheopensslprojectforuseintheopenssltoolkit.(openssl.org),andcryptographicsoftware.",present,missing,missing
the product provides 3. frame rate can be adjusted by support.,missing,missing,present
the product provides 4. extended temperature range includes operating temperatures below -10°c / 14°f and assumes ir will be enabled.,missing,missing,present
"the product provides 4. thisproductincludessoftwaredevelopedbytheopensslprojectforuseintheopenssltoolkit.(openssl.org),andcryptographicsoftware.",present,missing,missing
the product provides 4.11in.,missing,missing,present
the product provides 50%. zipstream also includes three intelligent.,present,missing,missing
"the product provides 62368-1, ik08 impact rating, fy2019 screw pack, mounting template.",missing,missing,present
the product provides acc-cam-shield-1 camera weather shield $79.,missing,missing,present
the product provides acc-mnt-angle-1 angle mount $149.,missing,missing,present
the product provides acc-mnt-arm-1 arm mount $99.,missing,missing,present
the product provides acc-mnt-cjbox-1 circle junction box mount $109.,missing,missing,present
the product provides acc-mnt-clip-1 tile clip mount $99.,missing,missing,present
the product provides acc-mnt-corner-1 corner mount $199.,missing,missing,present
the product provides acc-mnt-lbrac-1 l-bracket mount $129.,missing,missing,present
the product provides acc-mnt-pend-1 pendant cap mount $69.,missing,missing,present
the product provides acc-mnt-pole-1 pole mount $209.,missing,missing,present
the product provides acc-mnt-rec-2 recess ceiling mount $149.,missing,missing,present
the product provides accessories pricing.,missing,missing,present
the product provides additional hardware.,missing,missing,present
"the product provides alerts streaming and storage selectable storage location, low bandwidth.",missing,missing,present
"the product provides also keeping aesthetics top-of-mind. installation is simple and intuitive, and setup is easy to track with an led status.",missing,missing,present
the product provides and vehicle detection • led light status indicator.,missing,missing,present
the product provides aperture f1.6 minimum illumination.,missing,missing,present
the product provides archiving of footage.,missing,missing,present
the product provides audio not supported.,missing,missing,present
the product provides audio support: no.,missing,missing,present
the product provides audit log.,missing,missing,present
the product provides camera features.,missing,missing,present
"the product provides camera status, motion detection,.",missing,missing,present
the product provides camera: 608g / 21.45oz.,missing,missing,present
the product provides capacity: from 256gb to 768gb.,missing,missing,present
"the product provides card: microsd, sdxc.",missing,missing,present
the product provides cd22 indoor dome camera.,missing,missing,present
the product provides cd22 pricing.,missing,missing,present
the product provides cd22-256-hw 3mp fixed 10m / 33ft 256gb 30 days – $599.,missing,missing,present
the product provides cd22-512-hw 3mp fixed 10m / 33ft 512gb 60 days – $999.,missing,missing,present
"the product provides cd22-768-hw 3mp fixed 10m / 33ft 768gb 90 days – $1,399.",missing,missing,present
the product provides cd22.,missing,missing,present
the product provides certifi cations included accessories.,missing,missing,present
the product provides clear image quality hybrid cloud architecture.,missing,missing,present
"the product provides cloud backup, confi gurable retention days,.",missing,missing,present
"the product provides compression h.265, h.264 historical video settings adaptive quality1.",missing,missing,present
the product provides connection; 10 / 100 mbps.,missing,missing,present
"the product provides crowd detection, line-crossing.",missing,missing,present
"the product provides detection, loitering detection.",missing,missing,present
the product provides diagonal: 128° (91°).,missing,missing,present
the product provides dimensions.,missing,missing,present
the product provides dome series.,missing,missing,present
the product provides essential 3mp coverage for.,missing,missing,present
the product provides essential detection easy installation.,missing,missing,present
the product provides extended temperature range: n/a.,missing,missing,present
"the product provides fcc, ices, ce, ukca, rcm, cb,.",missing,missing,present
