feature,source_strategy,source_kind
The product provides the product provides 3.6mmlens DORIdefinition Distance.,table_extraction_agent,raw_table
The product provides the product provides Detect 25px/m(8px/ft) 50.6m(166.0ft).,table_extraction_agent,raw_table
The product provides the product provides Observe 63px/m(19px/ft) 20.1m(65.9ft).,table_extraction_agent,raw_table
The product provides the product provides Recognize 125px/m(38px/ft) 10.1m(33.1ft).,table_extraction_agent,raw_table
The product provides the product provides Identify 250px/m(76px/ft) 5.1m(16.7ft).,table_extraction_agent,raw_table
The product provides the product provides 2.8mmlens DORIdefinition Distance.,table_extraction_agent,raw_table
The product provides the product provides Detect 25px/m(8px/ft) 21.1m(69.2ft).,table_extraction_agent,raw_table
The product provides the product provides Observe 63px/m(19px/ft) 7.4m(24.3ft).,table_extraction_agent,raw_table
The product provides the product provides Recognize 125px/m(38px/ft) 4.2m(13.8ft).,table_extraction_agent,raw_table
The product provides the product provides Identify 250px/m(76px/ft) 2.1m(6.9ft).,table_extraction_agent,raw_table
