capability_label,feature,source_strategy,source_kind
The product provides the product provides 3.6mmlens DORIdefinition Distance.,The product provides the product provides 3.6mmlens DORIdefinition Distance.,table_extraction_agent,raw_table
The product provides the product provides Detect 25px/m(8px/ft) 50.6m(166.0ft).,The product provides the product provides Detect 25px/m(8px/ft) 50.6m(166.0ft).,table_extraction_agent,raw_table
The product provides the product provides Observe 63px/m(19px/ft) 20.1m(65.9ft).,The product provides the product provides Observe 63px/m(19px/ft) 20.1m(65.9ft).,table_extraction_agent,raw_table
The product provides the product provides Recognize 125px/m(38px/ft) 10.1m(33.1ft).,The product provides the product provides Recognize 125px/m(38px/ft) 10.1m(33.1ft).,table_extraction_agent,raw_table
The product provides the product provides Identify 250px/m(76px/ft) 5.1m(16.7ft).,The product provides the product provides Identify 250px/m(76px/ft) 5.1m(16.7ft).,table_extraction_agent,raw_table
The product provides the product provides 2.8mmlens DORIdefinition Distance.,The product provides the product provides 2.8mmlens DORIdefinition Distance.,table_extraction_agent,raw_table
The product provides the product provides Detect 25px/m(8px/ft) 21.1m(69.2ft).,The product provides the product provides Detect 25px/m(8px/ft) 21.1m(69.2ft).,table_extraction_agent,raw_table
The product provides the product provides Observe 63px/m(19px/ft) 7.4m(24.3ft).,The product provides the product provides Observe 63px/m(19px/ft) 7.4m(24.3ft).,table_extraction_agent,raw_table
The product provides the product provides Recognize 125px/m(38px/ft) 4.2m(13.8ft).,The product provides the product provides Recognize 125px/m(38px/ft) 4.2m(13.8ft).,table_extraction_agent,raw_table
The product provides the product provides Identify 250px/m(76px/ft) 2.1m(6.9ft).,The product provides the product provides Identify 250px/m(76px/ft) 2.1m(6.9ft).,table_extraction_agent,raw_table
The product provides the product provides Datasheet.,The product provides the product provides Datasheet.,text_extraction_agent,raw_text
The product provides the product provides AXISM3905-RDomeCamera.,The product provides the product provides AXISM3905-RDomeCamera.,text_extraction_agent,raw_text
The product provides the product provides AXIS M3905-R Dome Camera.,The product provides the product provides AXIS M3905-R Dome Camera.,text_extraction_agent,raw_text
The product provides the product provides For indoor surveillance onboard buses.,The product provides the product provides For indoor surveillance onboard buses.,text_extraction_agent,raw_text
The product provides the product provides This compact and discreet 2 MP onboard camera for indoor surveillance complies with transportation-industry.,The product provides the product provides This compact and discreet 2 MP onboard camera for indoor surveillance complies with transportation-industry.,text_extraction_agent,raw_text
"The product provides the product provides regulations including fire-safety for buses. It can withstand vibrations and a wide range of temperatures. Additionally,.","The product provides the product provides regulations including fire-safety for buses. It can withstand vibrations and a wide range of temperatures. Additionally,.",text_extraction_agent,raw_text
The product provides the product provides with AXIS TP3826-E housing this dome camera can be mounted on the outside of a bus. Thanks to Lightfinder and.,The product provides the product provides with AXIS TP3826-E housing this dome camera can be mounted on the outside of a bus. Thanks to Lightfinder and.,text_extraction_agent,raw_text
"The product provides forensic WDR, it provides details even in challenging light conditions. With traffic light mode, it can distinguish the.","The product provides forensic WDR, it provides details even in challenging light conditions. With traffic light mode, it can distinguish the.",text_extraction_agent,raw_text
The product provides the product provides coloroftrafficlightsindarkscenes.OptionalM12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring.,The product provides the product provides coloroftrafficlightsindarkscenes.OptionalM12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring.,text_extraction_agent,raw_text
The product provides the product provides purposes.,The product provides the product provides purposes.,text_extraction_agent,raw_text
"The product provides the product provides > Compact,ruggeddesign.","The product provides the product provides > Compact,ruggeddesign.",text_extraction_agent,raw_text
The product provides the product provides > Indoorcamera.,The product provides the product provides > Indoorcamera.,text_extraction_agent,raw_text
The product provides the product provides > 88°Horizontalfieldofview.,The product provides the product provides > 88°Horizontalfieldofview.,text_extraction_agent,raw_text
The product provides the product provides > LightfinderandForensicWDR.,The product provides the product provides > LightfinderandForensicWDR.,text_extraction_agent,raw_text
The product provides the product provides > TrafficLightmode.,The product provides the product provides > TrafficLightmode.,text_extraction_agent,raw_text
The product provides the product provides Variants.,The product provides the product provides Variants.,text_extraction_agent,raw_text
The product provides the product provides Video.,The product provides the product provides Video.,text_extraction_agent,raw_text
The product provides the product provides AXISM3905-RRJ453.6mm.,The product provides the product provides AXISM3905-RRJ453.6mm.,text_extraction_agent,raw_text
The product provides the product provides AXISM3905-RM123.6mm.,The product provides the product provides AXISM3905-RM123.6mm.,text_extraction_agent,raw_text
The product provides the product provides AXISM3905-RRJ452.8mm Videocompression.,The product provides the product provides AXISM3905-RRJ452.8mm Videocompression.,text_extraction_agent,raw_text
The product provides the product provides AXISM3905-RM122.8mm H.264(MPEG-4Part10/AVC)MainandHighProfiles.,The product provides the product provides AXISM3905-RM122.8mm H.264(MPEG-4Part10/AVC)MainandHighProfiles.,text_extraction_agent,raw_text
The product provides the product provides H.265(MPEG-HPart2/HEVC)MainProfile.,The product provides the product provides H.265(MPEG-HPart2/HEVC)MainProfile.,text_extraction_agent,raw_text
The product provides the product provides Camera MotionJPEG.,The product provides the product provides Camera MotionJPEG.,text_extraction_agent,raw_text
The product provides the product provides Imagesensor Resolution.,The product provides the product provides Imagesensor Resolution.,text_extraction_agent,raw_text
The product provides the product provides 1/2.9”ProgressivescanRGBCMOS 16:9:1920x1080to640X360.,The product provides the product provides 1/2.9”ProgressivescanRGBCMOS 16:9:1920x1080to640X360.,text_extraction_agent,raw_text
The product provides the product provides Pixelsize2.8µm 16:10:1280x800to640x400.,The product provides the product provides Pixelsize2.8µm 16:10:1280x800to640x400.,text_extraction_agent,raw_text
