source_document,page,feature
video-security-cd22-datasheet.pdf,1,Dome Series
video-security-cd22-datasheet.pdf,1,CD22 Indoor Dome Camera
video-security-cd22-datasheet.pdf,1,Essential 3MP Coverage for
video-security-cd22-datasheet.pdf,1,Monitoring Indoor Environments
video-security-cd22-datasheet.pdf,1,Overview
video-security-cd22-datasheet.pdf,1,The CD22 dome camera provides essential 3MP coverage in a variety of indoor spaces. With its 1 / 2.8” progressive CMOS
video-security-cd22-datasheet.pdf,1,"image sensor and 10 meters / 33 feet of IR range, the CD22 offers reliable visibility for organizations seeking quick and"
video-security-cd22-datasheet.pdf,1,scalable deployments. The CD22 includes an onboard CV25S Ambarella processor to detect and alert on the presence of
video-security-cd22-datasheet.pdf,1,people and vehicles. The CD22 is optimized for covering spaces like storage closets and store aisles where supplemental
video-security-cd22-datasheet.pdf,1,visibility is necessary.
video-security-cd22-datasheet.pdf,1,"The CD22’s sleek design and IK08 impact rating enable organizations to deploy a durable, tamper-resistant camera while"
video-security-cd22-datasheet.pdf,1,"also keeping aesthetics top-of-mind. Installation is simple and intuitive, and setup is easy to track with an LED status"
video-security-cd22-datasheet.pdf,1,indicator. The included mount plate additionally allows the camera to be mounted to a wall or ceiling without any
video-security-cd22-datasheet.pdf,1,additional hardware.
video-security-cd22-datasheet.pdf,1,Key features
video-security-cd22-datasheet.pdf,1,Clear image quality Hybrid cloud architecture
video-security-cd22-datasheet.pdf,1,• 1 / 2.8” progressive CMOS image sensor • Onboard storage and processing for reduced
video-security-cd22-datasheet.pdf,1,• 3MP resolution bandwidth consumption and coverage at scale
video-security-cd22-datasheet.pdf,1,• 10 meters / 33 feet of IR range for nighttime viewing • 30 - 90 days (256GB - 768GB) of onboard storage
video-security-cd22-datasheet.pdf,1,• Redundant cloud backup and unlimited cloud-based
video-security-cd22-datasheet.pdf,1,archiving of footage
video-security-cd22-datasheet.pdf,1,Essential detection Easy installation
video-security-cd22-datasheet.pdf,1,• Onboard CV25S Ambarella processor enables people • Mounting plate and screw pack included
